Brand,Name,Flight Rating
Innova,Cro,4.9/3/0/2
Innova,Croc,5.3/2.1/0.1/4.8
Innova,Foxbat,5/5.9/-1/0
Innova,Gator,5/2.1/0/3.1
Innova,Gator3,4.9/2.1/0/3
Innova,Griffin,5/3/1/3
Innova,Jaguar,5.5/6/-3/2
Innova,King Cobra,4.1/5/0/1.9
Innova,Kite,5/6/-2.9/1
Innova,Lion,5/3.9/0/1.9
Innova,Lycan,4/5/0/1
Innova,Makani,2/7/-2/0
Innova,Mako,4/5/-0.1/0
Innova,Mako3,5/4.2/-0.1/0.1
Innova,Manta,5/5/-2.7/1.1
Innova,Panther,5/4/-1.9/1
Innova,Rancho Roc,4/4/0/2.9
Innova,Rat,4/2.4/0/2.6
Innova,Roc,4/4.1/-0.1/2.6
Innova,Roc +,4/5/0/2
Innova,Roc3,5/4.1/-0.1/2.7
Innova,RocX3,5/4/0/3.3
Innova,Scorpion,5/5/-1/2
Innova,Shark,4/4/-0.2/1.8
Innova,Shark3,5/4.1/-0.1/1.9
Innova,Skeeter,4.9/5/-0.9/0.9
Innova,Spider,5/3.1/0/1.1
Innova,Stingray,4/4.9/-2.8/1
Innova,Super Stingray,4/5/-1/1
Innova,VCobra,5/5.1/-1/1.9
Innova,VRoc,4/3.9/0/1.7
Innova,Wedge,4/3.1/-3.1/1
Innova,Wolf,4/3.1/-3.9/0.9
Innova,Wombat,5/6/-1.2/0.8
Innova,Wombat3,5/5.8/-1.2/0.1
Innova,Ace,2/3/-2.1/1
Innova,Aero,3/6/-0.3/0
Innova,Aviar,2/3/0/1
Innova,Aviar Classic,2/3/0/0
Innova,Aviar Driver,2/3/0/1.9
Innova,Aviar Yeti,2/2.9/0/1
Innova,Aviar-X (JK),2/3/0/1.9
Innova,Aviar3,3/2.1/0/1.9
Innova,AviarX3,3/2.1/0/3
Innova,Birdie,1/2/0/0
Innova,Bullfrog,3/1.2/0/1
Innova,Classic Roc,3/3/0/2
Innova,Colt,3.1/3.3/-0.9/1
Innova,Coupe,2/3/-1/1
Innova,Croc,5.3/2.1/0.1/4.8
Innova,Dart,3.1/4.1/0/0.1
Innova,Firefly,2/3/0/0.9
Innova,Hammer,2.2/2/-1/1.8
Innova,Hawg,2/1/0/3.3
Innova,Hydra,3/3/0/2.1
Innova,Invader,3/2.1/0/1
Innova,KC Aviar,2/3/0/2
Innova,Mirage,3.1/4.1/-3/0.1
Innova,Nova,2/3/0/0
Innova,Pig,3/1/0/3
Innova,Polecat,1/3/0/0
Innova,Rhyno,2/1.2/0/2.8
Innova,RhynoX,2/1/0/4
Innova,Sonic,1/2.1/-3.9/0.1
Innova,Stud,3/3/0/2
Innova,Warhog,3/3/0/1
Innova,Wedge,4/3.1/-3.1/1
Innova,Whale,2/3.1/0/1
Innova,XD,3/4/-1/1
Innova,XD +,3/4/-0.9/0.9
Innova,Zephyr,1.9/3.2/-0.1/0
Discmania,CD,10/4.8/-0.9/2
Discmania,CD3,10.9/5/-1/2.1
Discmania,DD,11.1/4.9/0/2.1
Discmania,DD2,12.9/4.9/-2/2
Discmania,DD3,12/5/-1/3
Discmania,DDx,12/5.8/-1.1/2
Discmania,Enigma,12.1/5.1/-1/2.1
Discmania,Mentor,11/5/-1.7/2.1
Discmania,PD,9.9/4.1/0/3
Discmania,PD2,12/4.1/0/3.9
Discmania,PD3,11/3/-0.1/5
Discmania,PDx,10.9/4/-0.1/3
Discmania,TD,10/5.8/-1.8/1.1
Discmania,TD2 Fever,10/5.1/-3.6/1.1
Discmania,TDx,9/5/-2.8/1.1
Discmania,CD2,9.1/5/-1/2
Discmania,Essence,8/6/-2/1
Discmania,FD,7/5.9/-1/1.1
Discmania,FD2,7/4.1/0/2.1
