Name,Brand,Category,Stability,Speed,Glide,Turn,Fade,URL,ThumbnailURL

Method,Discmania,Mid Range,Overstable,5,5,0,2.9,https://infinitediscs.com/Discmania-Method,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_5d3eb8-d207.JPG

Origin,Discmania,Mid Range,Neutral,5,5.1,-1.1,1,https://infinitediscs.com/Discmania-Origin,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_716c59-1b0f.jpg

Link,Discmania,Putters,Overstable,2,3.1,0,1,https://infinitediscs.com/Discmania-Link,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_baf005-fcd0.JPG

P1,Discmania,Putters,Neutral,2.1,3.1,-0.1,0.1,https://infinitediscs.com/Discmania-P1,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC00295.jpg

P1X,Discmania,Putters,Neutral,2.1,3,-0.1,0.5,https://infinitediscs.com/Discmania-P1X,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC00298.jpg

P2,Discmania,Putters,Overstable,2,3.1,0,1.2,https://infinitediscs.com/Discmania-P2,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_bbcb65-8bbb.JPG

P3,Discmania,Putters,Overstable,3,4.3,0,2.7,https://infinitediscs.com/Discmania-P3,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC00300.jpg

P3x,Discmania,Putters,Overstable,3,2.2,0,2.6,https://infinitediscs.com/Discmania-P3x,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_ppppppppp.JPG

Sensei,Discmania,Putters,Overstable,2.8,3,0,1.1,https://infinitediscs.com/Discmania-Sensei,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_unnamed14.jpg

Tactic,Discmania,Putters,Overstable,4,2.1,0,3,https://infinitediscs.com/Discmania-Tactic,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_exohard.JPG

Avenger,Discraft,Distance Drivers,Overstable,9.9,4.8,0,2.9,https://infinitediscs.com/Discraft-Avenger,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_269af0cf-2e0f-45e2-b2f2-b0d033daea96Discraft Avenger Pro-D.jpg

Avenger SS,Discraft,Distance Drivers,Understable,9.8,4.9,-2.9,1,https://infinitediscs.com/Discraft-Avenger-SS,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_bdd66a51-d541-4c9c-b7c0-9ffa3ce0a869Discraft Avenger SS Pro D.jpg

Crank,Discraft,Distance Drivers,Overstable,12.3,5,-1.4,2,https://infinitediscs.com/Discraft-Crank,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_89716990-e154-4dae-a33d-c070abeaa01cproDCrank.JPG

Crank SS,Discraft,Distance Drivers,Understable,12.6,4.7,-2.8,1.8,https://infinitediscs.com/Discraft-Crank-SS,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_72bd717c-d420-47ae-8d2d-34c88685c37cDSC07330.JPG

Crush,Discraft,Distance Drivers,Very Overstable,11.1,5,-0.1,3.8,https://infinitediscs.com/Discraft-Crush,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_a29d8abc-386a-4e85-948b-e078e7e56abbDiscraft Crush ESP.jpg

Flash,Discraft,Distance Drivers,Overstable,10,5,-1.9,2.9,https://infinitediscs.com/Discraft-Flash,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_4a690e9e-ecb2-4720-b996-9b7e24c448e5Discraft Flash ESP.jpg

Flick,Discraft,Distance Drivers,Very Overstable,10,3.5,0.9,4.3,https://infinitediscs.com/Discraft-Flick,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_6d93bbe3-cba7-469a-ad2f-93b3f0330a11Discraft Flick Elite Z.jpg

Force,Discraft,Distance Drivers,Overstable,12,4.9,0,3.2,https://infinitediscs.com/Discraft-Force,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_ed180ba5-c967-4328-9430-86da6eada6afDiscraft Force Elite Z.jpg

Hades,Discraft,Distance Drivers,Understable,12,6,-3,1.9,https://infinitediscs.com/Discraft-Hades,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_640762-7cb5.jpg

Machete,Discraft,Distance Drivers,Very Overstable,10.6,3.7,0.1,3.9,https://infinitediscs.com/Discraft-Machete,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_c85393-4232.JPG

Nuke,Discraft,Distance Drivers,Overstable,13,4.9,-1,3,https://infinitediscs.com/Discraft-Nuke,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_7d318a7b-02ac-4af0-9672-851f5959a6cbDiscraft Nuke Pro D.jpg

Nuke OS,Discraft,Distance Drivers,Very Overstable,13,4,0,4.1,https://infinitediscs.com/Discraft-Nuke-OS,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_e06df393-b50d-47a7-baf7-c4db8dcf2203Nuke-OS-Elite-Z-Dyed.jpg

Nuke SS,Discraft,Distance Drivers,Neutral,13,5,-3,2.9,https://infinitediscs.com/Discraft-Nuke-SS,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_71b31467-7092-493d-a478-61b2891f1198100_4869.JPG

Pulse,Discraft,Distance Drivers,Overstable,10.9,3.9,0,3,https://infinitediscs.com/Discraft-Pulse,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_e005ab8c-62ed-4022-b61a-32eba1e423c1Discraft Pulse ESP.jpg

Punisher,Discraft,Distance Drivers,Overstable,11.9,4.9,-0.3,2.9,https://infinitediscs.com/Discraft-Punisher,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC04372.JPG

Spectra,Discraft,Distance Drivers,Neutral,11.8,4.9,-2,2,https://infinitediscs.com/Discraft-Spectra,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_53a74fbb-0ea6-45de-9776-a90234b5517aDiscraft Spectra SuperColor.jpg

Surge,Discraft,Distance Drivers,Overstable,11,5,-1,2.9,https://infinitediscs.com/Discraft-Surge,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_b1176999-fe7a-4df8-ad09-c2540264d328Discraft Surge Pro D.jpg

Surge SS,Discraft,Distance Drivers,Overstable,11,4.9,-1.1,2,https://infinitediscs.com/Discraft-Surge-SS,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_610d3ca8-7ddd-4e60-9b26-96069d6cea49Discraft Surge SS Elite Z.jpg

Thrasher,Discraft,Distance Drivers,Understable,11.9,5.1,-2.8,1.9,https://infinitediscs.com/Discraft-Thrasher,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC07350.JPG

Wildcat,Discraft,Distance Drivers,Overstable,11,5,-2,3,https://infinitediscs.com/Discraft-Wildcat,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_1661e4a1-3b22-48f4-af64-3d10c5bed332Wildcat-Elite-X.jpg

Zeus,Discraft,Distance Drivers,Overstable,12,5,-0.9,3,https://infinitediscs.com/Discraft-Zeus,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_Infinite4_9.JPG

Anax,Discraft,Control Drivers,Overstable,10,5.8,-0.1,2.9,https://infinitediscs.com/Discraft-Anax,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_707d92-c4a4.JPG

Cyclone,Discraft,Control Drivers,Overstable,7,4.2,-1,2.8,https://infinitediscs.com/Discraft-Cyclone,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_4b1062d3-a342-423e-8e57-f0784e3315b4Discraft Cyclone ESP.jpg

Eclipse,Discraft,Control Drivers,Neutral,6.8,5,-2,1.9,https://infinitediscs.com/Discraft-Eclipse,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_a3f1e3-da50.JPG

Heat,Discraft,Control Drivers,Understable,9,5.7,-2.9,1,https://infinitediscs.com/Discraft-Heat,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_dcb1bdfe-cc08-4261-ba9e-8127ce857e52Elite Z Heat.jpg

Mantis,Discraft,Control Drivers,Neutral,8,4.5,-1.5,1.9,https://infinitediscs.com/Discraft-Mantis,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_9a412a1e-10df-4efc-bb00-e408478118f0100_4871.JPG

Predator,Discraft,Control Drivers,Very Overstable,9,4,-0.1,4,https://infinitediscs.com/Discraft-Predator,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_dcb7e717-6318-4b90-bfda-5f849cec0574Discraft Predator Elite Z.jpg

Raptor,Discraft,Control Drivers,Overstable,9,4,0,3,https://infinitediscs.com/Discraft-Raptor,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_573746-0481.JPG

